Order,Category,FileName,Format,OriginalPath,SizeBytes,SHA256
9,09-FHRP-HSRP,9.3.3 Packet Tracer - HSRP Configuration Guide.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\9.3.3 Packet Tracer - HSRP Configuration Guide.pka,771131,C03753539EF5C397B1446807A4246B928F27C74B94120B25EFC31CCFEEF2D422
10,10-Static-va-Default-Routing,1.5.10 Packet Tracer - Verify Directly Connected Networks.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\1.5.10 Packet Tracer - Verify Directly Connected Networks.pka,781295,D8FACAC6CDE1155DF7A448D73B61BD0E96B0BEFED83695132DDA5F0DEAD4A29B
10,10-Static-va-Default-Routing,15.6.1 Packet Tracer - Configure IPv4 and IPv6 Static and Default Routes.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\15.6.1 Packet Tracer - Configure IPv4 and IPv6 Static and Default Routes.pka,607310,C0ED24B77C2C6617A46CA1648437DE52004F8E38BA9C83397467F3F8A169FD07
10,10-Static-va-Default-Routing,16.3.1 Packet Tracer - Troubleshoot Static and Default Routes.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\16.3.1 Packet Tracer - Troubleshoot Static and Default Routes.pka,502615,98AAAB48E6628BB11455170C05A88E5DE9A73C48975ECE972A8D733A96244743
11,11-OSPF,2.2.13 Packet Tracer - Point-to-Point Single-Area OSPFv2 Configuration.pka,PKA,ccna-lap-s2\2.2.13 Packet Tracer - Point-to-Point Single-Area OSPFv2 Configuration.pka,680785,49BBBD8F5E39D9F9B79FB2AD433B4D445D384D3C711EFD77027D1BA3DC286ECF
11,11-OSPF,2.3.11 Packet Tracer - Determine the DR and BDR.pka,PKA,ccna-lap-s2\2.3.11 Packet Tracer - Determine the DR and BDR.pka,589687,56B92910BD186EABCB123BA585F15764332AA22391726798DC21B4DD1D904090
11,11-OSPF,2.4.11 Packet Tracer - Modify Single-Area OSPFv2.pka,PKA,ccna-lap-s2\2.4.11 Packet Tracer - Modify Single-Area OSPFv2.pka,758091,C058CB4286215650C58B733D177F321E9EBAAD96492A498327D85660894AAA16
11,11-OSPF,2.5.3 Packet Tracer - Propagate a Default Route in OSPFv2.pka,PKA,ccna-lap-s2\2.5.3 Packet Tracer - Propagate a Default Route in OSPFv2.pka,755455,D778FE61BF7455ADFFACB6895F17B2805AA7BB1928EC67632CE6FDC8D4C40EF1
11,11-OSPF,2.6.6 Packet Tracer - Verify Single-Area OSPFv2.pka,PKA,ccna-lap-s2\2.6.6 Packet Tracer - Verify Single-Area OSPFv2.pka,693582,854D1DFD32FA4BC57CB766AE967E91C97A2B91B7C1B7BD91E6188401030E1348
11,11-OSPF,2.7.1 Packet Tracer - Single-Area OSPFv2 Configuration.pka,PKA,ccna-lap-s2\2.7.1 Packet Tracer - Single-Area OSPFv2 Configuration.pka,1023172,196646BCC6B143802318046BE07A3394AA71C1D33AF6187EF5EDAA251DC91992
11,11-OSPF,ospf_full.pkt,PKT,ccna-lap-s2\ospf_full.pkt,510758,69173200295CEB58F2552928BDF2658A1666E80ACB8B3AB89F676181AF6719E8
12,12-DHCP,7.2.10 Packet Tracer - Configure DHCPv4.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\7.2.10 Packet Tracer - Configure DHCPv4.pka,885936,441BC73425A7E54F6046B0E438204A9826C487A76C41AF1A46DFC7FB326927FF
12,12-DHCP,7.4.1 Packet Tracer - Implement DHCPv4.pka,PKA,S2_SRWE v7 Packet Tracer Activity Source Files\7.4.1 Packet Tracer - Implement DHCPv4.pka,885707,B02C7AA85B75C083049A86900B2F2D60BF8E903B80A8E82B1FD225A4D1669071
13,13-ACL,5.1.8 Packet Tracer - Configure Numbered Standard IPv4 ACLs.pka,PKA,ccna-lap-s2\5.1.8 Packet Tracer - Configure Numbered Standard IPv4 ACLs.pka,747519,9478AFD736A08CDF24F7BCFD986CA06DBF32231AF05AB8A248C128CB22F7A757
13,13-ACL,5.1.9 Packet Tracer - Configure Named Standard IPv4 ACLs.pka,PKA,ccna-lap-s2\5.1.9 Packet Tracer - Configure Named Standard IPv4 ACLs.pka,727948,3CDC5F2AEE5CDBB5B6A3F8715544D83B6360282CEABA13E5EA42053F90524A5C
13,13-ACL,5.2.7 Packet Tracer - Configure and Modify Standard IPv4 ACLs.pka,PKA,ccna-lap-s2\5.2.7 Packet Tracer - Configure and Modify Standard IPv4 ACLs.pka,751419,BFCCC2765B30E500182290FF738CE7DB916A6AFD00A98B105AC2B675BA3F3411
13,13-ACL,5.4.12 Packet Tracer - Configure Extended IPv4 ACLs - Scenario 1.pka,PKA,ccna-lap-s2\5.4.12 Packet Tracer - Configure Extended IPv4 ACLs - Scenario 1.pka,593102,7C73F594FA96C3FACEB76C6BB404EEF0EB6C28444B160D6F8356672610A8F718
13,13-ACL,5.4.13 Packet Tracer - Configure Extended IPv4 ACLs - Scenario 2.pka,PKA,ccna-lap-s2\5.4.13 Packet Tracer - Configure Extended IPv4 ACLs - Scenario 2.pka,698296,DC3250E9899F2059052F31A11A37629F6B3EB29FA8E09B5E8A930B85D2224512
14,14-NAT-va-PAT,6.2.7 Packet Tracer - Investigate NAT Operation.pka,PKA,ccna-lap-s2\6.2.7 Packet Tracer - Investigate NAT Operation.pka,1182908,320CE981D704CAD96774F1C80728EC744DB93814B457B48905BBCCA125200C1A
14,14-NAT-va-PAT,6.4.5 Packet Tracer - Configure Static NAT.pka,PKA,ccna-lap-s2\6.4.5 Packet Tracer - Configure Static NAT.pka,614503,341A4E6B7668DF1DFE7548BBE9837DFDC5F3B0A506AC1A008AFA3F968E1207F0
